currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
89,0.26,0.79,0.52,56.44,26.22,18.09,4
90,0.26,0.79,0.51,57.24,26.92,18.09,4
91,0.27,0.77,0.52,55.91,26.91,18.95,4
92,0.26,0.8,0.52,57.09,26.57,17.93,4
93,0.25,0.81,0.5,58.39,26.57,17.1,4
94,0.27,0.8,0.52,57.35,27.26,18.27,4
95,0.27,0.79,0.52,56.44,26.91,18.6,4
96,0.27,0.8,0.52,57.09,27.26,18.43,4
97,0.26,0.79,0.52,56.84,26.57,18.09,4
98,0.27,0.84,0.44,62.37,31.26,17.63,4
99,0.24,0.91,0.24,75.04,45,14.96,6
100,0.21,0.96,0.08,85.35,69.68,12.38,6
101,0.22,0.95,0,90,90,12.93,6
102,0.21,0.91,0.09,84.63,67.83,12.99,6
103,0.21,0.9,-0.02,91,94.24,13.21,6
104,0.14,0.83,-0.3,109.72,154.65,9.64,6
105,0.02,0.66,-0.73,137.88,178.17,2.02,6
106,0.04,0.59,-0.72,140.81,176.89,3.81,6
107,0.07,0.73,-0.66,132.12,173.96,5.47,6
108,0.04,0.87,-0.51,120.35,175.6,2.58,6
109,0.16,0.92,-0.13,97.72,128.66,9.62,6
110,0.25,0.77,0.3,69,40.1,17.91,2
111,0.37,0.84,0.34,67.83,46.89,23.52,2
112,0.25,1.02,0.29,74.23,40.86,13.73,2
113,0.06,0.88,0.25,74.19,14.04,4.05,2
114,0.34,0.91,0.12,82.63,71.18,20.77,9
115,0.24,1.01,0.22,77.75,47.91,13.51,2
116,0.11,0.95,0.17,79.78,32.47,6.55,2
117,0.35,0.85,0.14,80.62,68.2,22.43,2
118,0.08,0.84,0.08,84.66,45,5.34,2
119,0.27,1.01,0.39,68.81,34.22,14.77,2
0,0.3,0.87,0.22,75.84,53.62,18.9,2
1,0.09,0.91,0.23,75.5,20.14,5.42,2
2,0.25,0.98,0.16,80.91,57.99,14.36,2
3,0.27,0.93,0.18,79.06,55.92,15.95,2
4,0.05,0.94,0.21,77.32,14.53,3.34,9
5,0.23,0.97,0.1,84.02,66.57,13.6,9
6,0.25,0.97,0.16,80.39,56.73,14.47,2
7,0.09,0.9,0.2,77.74,23.75,5.46,2
8,0.23,0.86,0.03,87.92,82.41,15.26,9
9,0.28,0.95,0.2,78.42,55.22,16.44,2
10,0.13,0.91,0.22,76.43,29.74,7.85,2
11,0.27,0.95,0.15,81.08,61.5,16.13,2
12,0.12,0.98,0.13,82.76,43.15,6.79,2
13,0.08,0.95,0.19,78.78,22.62,4.72,2
14,0.29,0.86,0.14,80.71,64.06,18.59,2
15,0.31,0.88,0.27,72.65,48.81,19.65,2
16,0.11,0.93,0.15,80.93,36.38,6.71,2
17,0.3,0.87,0.14,80.79,65.22,19.36,2
18,0.11,0.93,0.14,81.4,37.87,6.71,2
19,0.2,0.91,0.02,88.53,83.42,12.53,5
20,0.15,0.86,-0.13,98.79,131.82,9.8,5
21,-0.14,0.9,-0.41,114.74,-161.24,-8.9,5
22,-0.08,0.76,-0.55,126.2,-171.98,-5.89,5
23,0.06,0.67,-0.72,136.93,175.03,5.31,5
24,0.09,0.73,-0.7,133.74,172.32,7.35,5
25,0.36,1.34,-0.02,91,93.73,14.97,5
26,0.29,0.61,0.81,36.87,19.58,25.38,4
27,0.34,0.85,0.39,65.36,41.35,21.98,4
28,0.34,0.73,0.61,50.01,28.87,24.81,4
29,0.34,0.7,0.59,49.5,29.5,25.79,4
30,0.32,0.7,0.6,49.13,28.03,24.73,4
31,0.33,0.7,0.6,49.45,28.61,25.02,4
32,0.31,0.7,0.59,49.82,27.76,23.96,4
33,0.31,0.72,0.61,49.71,27.15,23.5,4
34,0.3,0.71,0.59,50.51,26.87,22.66,4
35,0.31,0.72,0.59,50.44,27.76,23.5,4
36,0.3,0.72,0.59,50.44,27.16,22.97,4
37,0.31,0.71,0.59,50.13,27.76,23.73,4
38,0.3,0.73,0.59,51.12,27.47,22.75,4
39,0.31,0.72,0.59,50.81,28.07,23.5,4
40,0.31,0.71,0.59,50.51,28.07,23.73,4
41,0.31,0.71,0.59,50.51,28.07,23.73,4
42,0.32,0.73,0.6,50.68,28.03,23.57,4
43,0.31,0.72,0.6,50.07,27.45,23.5,4
44,0.31,0.73,0.59,50.74,27.76,23.27,4
45,0.31,0.7,0.6,49.45,27.45,23.96,4
1,0.2,0.76,0.58,52.66,18.67,14.45,4
2,0.2,0.76,0.58,52.66,19.36,15,4
3,0.2,0.76,0.58,52.66,19.36,15,4
4,0.22,0.76,0.59,51.92,20.22,16.1,4
5,0.2,0.87,0.23,74.88,39.81,12.69,4
6,0.14,0.88,-0.22,104.04,147.26,9.13,6
7,0.16,0.88,-0.71,129.09,167.01,10.62,6
8,0.13,0.87,-0.56,122.97,167.47,8.2,6
9,0.15,0.78,0.07,84.86,64.65,10.76,6
10,0.21,0.73,0.54,53.72,21.37,16.03,6
11,0.2,0.81,0.52,57.21,20.46,13.52,1
12,0.2,0.81,0.5,58.39,22.11,14.04,1
13,0.2,0.8,0.52,57.35,20.75,13.64,1
14,0.22,0.8,0.47,59.53,25.02,15.35,1
15,0.01,0.86,0.38,66.43,1.19,0.52,2
16,0.23,0.99,0.26,75.43,42.27,13.29,2
17,0.23,0.77,0.41,62.29,29.98,16.86,2
18,0.13,0.94,0.21,77.32,32.2,8.06,2
19,0.04,0.85,0.45,61.98,4.93,2.63,2
20,0.29,0.77,0.34,66.04,40.06,20.49,2
21,0.02,0.88,0.16,79.38,8.13,1.53,2
22,0.07,0.85,0.3,70.78,13.32,4.72,2
23,0.27,0.64,0.02,88.6,86.73,23.11,8
24,-0.25,-0.52,-0.86,-149.04,-163.78,-154.13,7
25,-0.02,0.85,-1.18,144.18,-178.86,-1.58,7
