currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
59,0.15,0.91,0.28,72.76,27.82,9.3,2,None
60,0.24,0.89,0.25,74.32,44.09,15.21,2,None
61,0.3,0.85,0.3,70.31,44.26,19.22,2,None
62,0.14,1,0.23,76.81,30.96,8,2,None
63,0.16,1.01,0.28,74.41,29.05,8.81,2,None
64,0.29,0.9,0.3,71.27,43.49,17.84,2,None
65,0.06,0.84,0.15,79.93,22.83,4.28,2,None
66,0.14,0.98,0.31,72.39,24.23,8.13,2,None
67,0.3,0.81,0.29,70.42,46.51,20.56,2,None
68,0.03,0.76,0.19,76.1,9.46,2.36,2,None
69,0.15,0.93,0.29,72.73,27.18,9.07,2,None
70,0.24,0.88,0.27,72.65,41.53,15.47,2,None
71,0.19,0.97,0.24,75.96,37.75,10.95,2,None
72,0.11,0.91,0.28,72.9,21.25,6.82,2,None
73,0.3,0.91,0.26,74.25,49.03,17.99,2,None
74,0.22,1,0.25,75.96,41.19,12.34,2,None
75,0.09,0.98,0.25,75.75,20.56,5.44,2,None
76,0.29,0.84,0.31,69.68,42.77,18.91,2,None
77,0.09,0.91,0.23,75.5,20.14,5.42,2,None
78,0.1,0.93,0.24,75.4,22.75,6.23,2,None
79,0.26,0.78,0.28,70.2,42.51,18.26,2,None
80,0.13,0.92,0.24,75.28,27.3,7.72,2,None
81,0.11,0.95,0.24,75.74,24.3,6.55,2,None
82,0.26,0.84,0.26,72.86,45,17.14,2,None
83,0.05,0.84,0.17,78.38,15.26,3.21,2,None
84,0.08,0.91,0.28,72.76,15.52,4.93,2,None
85,0.25,0.87,0.2,76.82,50.91,16.08,2,None
86,-0.05,0.92,0.09,84.19,-26.57,-2.91,2,None
87,-0.03,0.95,0.15,81.15,-11.89,-1.88,2,None
88,0.26,0.9,0.22,76.32,49.69,16.01,2,None
89,0.28,0.89,0.3,71.57,43.45,17.53,2,None
90,0.14,0.84,0.29,71.09,25.94,9.46,2,None
91,0.32,0.85,0.16,79.09,62.88,20.61,2,None
92,0.33,0.89,0.25,74.32,52.7,20.22,2,None
93,0.16,0.84,0.28,71.57,29.05,10.49,2,None
94,0.29,0.94,0.23,75.96,50.96,17.14,2,None
95,0.3,0.88,0.3,70.96,44.26,18.59,2,None
96,0.14,0.84,0.31,69.68,24.23,9.46,2,None
97,0.27,0.94,0.23,76.41,49.54,15.82,2,None
98,0.27,0.88,0.31,70.35,40.36,16.89,2,None
99,0.15,0.85,0.3,70.78,26.57,9.89,2,None
100,0.26,0.77,0.12,81.3,65.56,18.61,2,None
101,0.25,0.92,0.35,69.13,35.42,15.17,2,None
102,0.09,0.85,0.34,68.47,15.59,6.28,2,None
103,0.27,0.96,0.23,76.73,50.36,15.88,2,None
104,0.21,1.12,0.33,73.63,32.74,10.69,2,None
105,0.1,0.9,0.29,72.16,19.36,6.45,2,None
