currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
18,0.19,0.66,0.59,48.58,17.74,15.77,2,FALSE
19,0.27,0.75,0.44,59.74,32.01,20.03,2,FALSE
20,0.28,0.86,-0.35,112.25,141.34,18.12,5,TRUE
21,0.12,0.73,-0.64,131.1,169.63,9.07,5,TRUE
22,0.34,1.13,-0.41,109.86,140.41,16.63,5,FALSE
23,0.27,0.73,0.52,54.93,27.26,19.89,5,TRUE
24,0.26,0.66,0.64,45.69,21.92,21.45,4,TRUE
25,0.27,0.63,0.71,41.67,20.49,22.77,4,FALSE
26,0.27,0.62,0.72,40.65,20.28,23.29,4,FALSE
27,0.27,0.61,0.73,39.99,20.62,24.17,4,FALSE
28,0.27,0.6,0.73,39.62,20.62,24.44,4,FALSE
29,0.27,0.61,0.71,40.6,21.04,24.17,4,FALSE
30,0.27,0.62,0.73,40.35,20.62,23.9,4,FALSE
31,0.27,0.62,0.73,40.35,20.08,23.29,4,FALSE
32,0.27,0.62,0.7,41.28,21.25,23.9,4,FALSE
33,0.27,0.63,0.71,41.32,20.49,23.03,4,FALSE
34,0.27,0.62,0.72,40.65,20.28,23.29,4,FALSE
35,0.27,0.62,0.71,40.96,21.04,23.9,4,FALSE
36,0.27,0.62,0.71,40.96,21.04,23.9,4,FALSE
37,0.27,0.61,0.71,40.6,20.49,23.55,4,FALSE
38,0.27,0.61,0.72,40.29,20.83,24.17,4,FALSE
